date,product_name,demand
2024-05-02,Digital Photo Frame,62.0
2024-05-02,Dish Rack,28.0
2024-05-02,Camping Lantern,89.0
2024-05-04,Lemon Basil Pasta Sauce,33.0
2024-05-06,Sesame Noodles,48.0
2024-05-09,Pet Hair Vacuum Cleaner Attachment,10.0
2024-05-09,Set of Silicone Baking Molds,73.0
2024-05-10,Pet Hair Remover,73.0
2024-05-12,Inflatable Paddle Board,31.0
2024-05-12,Miso Dressing,1.0
2024-05-13,Kids' Gardening Tools Set,6.0
2024-05-15,Emergency Preparedness Kit,63.0
2024-05-16,Pet Bed,9.0
2024-05-16,Wireless Music Receiver,52.0
2024-05-18,Foldable Yoga Mat Carry Bag,64.0
2024-05-20,Electric Ice Cream Maker,28.0
2024-05-20,Travel Size Toiletry Bottles,60.0
2024-05-20,Jalapeño Cornbread,70.0
2024-05-21,Lightweight Travel Backpack,38.0
2024-05-23,Mango Chutney,59.0
2024-05-23,Vegan Taco Seasoning,3.0
2024-05-24,Travel Luggage Scale,63.0
2024-05-25,Wall Art Stickers,54.0
2024-05-25,Vegetable Broth,16.0
2024-05-26,Organic Brown Sugar,98.0
2024-05-27,Marinated Artichokes,91.0
2024-05-27,Rechargeable Laptop Battery Pack,65.0
2024-05-27,Travel Laundry Bag,63.0
2024-05-28,Eco-Friendly Cleaning Cloths,90.0
2024-05-29,Kids' Gardening Kit,27.0
2024-05-30,Lentil Vegetable Stew,51.0
2024-05-30,Frozen Acai Purée,32.0
2024-05-30,Tailored Blazer,27.0
2024-05-30,Mesh Laundry Bags Set,11.0
2024-05-30,Savory Oatmeal Cups,56.0
2024-05-30,Craft Beer Mustard,43.0
2024-06-01,Art Supplies Organizer,76.0
2024-06-01,Teriyaki Tofu Stir-Fry,86.0
2024-06-01,Foldable Electric Scooter,54.0
2024-06-02,Memory Foam Mattress Pad,96.0
2024-06-02,Lightweight Workout Tank,9.0
2024-06-02,Travel Document Organizer,16.0
2024-06-02,Wireless Range Extender,62.0
2024-06-03,Portable UV Sterilizer,98.0
2024-06-03,Running Shorts,77.0
2024-06-04,Smart WiFi Plug,36.0
2024-06-04,Self-Massaging Pillow,85.0
2024-06-05,Hydration Backpack,29.0
2024-06-06,Traditional Hummus,45.0
2024-06-06,Electric Rice Cooker with Steamer,44.0
2024-06-06,Hiking Boots,74.0
2024-06-07,High-Speed Blender,85.0
2024-06-07,Smart Plant Monitor,90.0
2024-06-07,Green Tea Matcha Powder,57.0
2024-06-08,Acoustic Guitar,17.0
2024-06-09,Bluetooth Car Adapter,24.0
2024-06-09,Blueberry Chia Jam,12.0
2024-06-09,Stainless Steel Straws,5.0
2024-06-10,Creamy Tomato Basil Soup,86.0
2024-06-11,Pet Training Pads,54.0
2024-06-11,Lemon Garlic Shrimp,73.0
2024-06-12,Pineapple Coconut Rice Mix,38.0
2024-06-15,Voice-Controlled Speaker,94.0
2024-06-15,Gardening Fairy Figurines,13.0
2024-06-16,Organic Coconut Flour,62.0
2024-06-16,Pet Travel Bed,31.0
2024-06-16,Vegetable Samosas,49.0
2024-06-20,Fridge Magnet Set,98.0
2024-06-21,Relaxed Fit Henley Shirt,43.0
2024-06-21,Chocolate Coconut Protein Balls,89.0
2024-06-22,Chocolate Fudge Brownie Mix,78.0
2024-06-22,Spicy Salsa Verde,56.0
2024-06-24,Tandoori Chicken Marinade,70.0
2024-06-24,Frozen Pizza,6.0
2024-06-24,Travel Document Organizer,29.0
2024-06-25,Elegant Lace Dress,3.0
2024-06-25,Sweet Potato Noodles,42.0
2024-06-25,Smart Light Switch,66.0
2024-06-26,Electric Stool Heater,88.0
2024-06-27,Bamboo Utensil Set,74.0
2024-06-28,Sparkling Blood Orange Soda,15.0
2024-06-28,Chocolate Covered Pretzels,35.0
2024-07-02,Vegetable Spring Rolls,82.0
2024-07-02,Spicy Tuna Salad,89.0
2024-07-02,USB Flash Drive,34.0
2024-07-04,Wireless Earbud Silicone Covers,67.0
2024-07-04,Pork Tenderloin,88.0
2024-07-06,Pumpkin Pancake Mix,42.0
2024-07-06,Coconut Almond Granola,53.0
2024-07-06,Car Vacuum,13.0
2024-07-07,Digital Alarm Clock,1.0
2024-07-08,Vegan Mayonnaise,80.0
2024-07-09,Dog Training Clicker,39.0
2024-07-09,Artisan Pickles,86.0
2024-07-09,Body Pillow Case,48.0
2024-07-10,Reclining Camping Chair,20.0
2024-07-10,Samoas Cookie Mix,48.0
2024-07-11,Collapsible Colander,27.0
2024-07-11,Cinnamon Roll Protein Bar,83.0
2024-07-12,Brown Rice,49.0
2024-07-12,Striped Long Sleeve Shirt,12.0
2024-07-12,Beef Stroganoff Mix,35.0
2024-07-13,Chocolate Covered Pretzels,7.0
2024-07-14,Vegan Mayonnaise,27.0
2024-07-15,Coconut Milk Ice Cream,87.0
2024-07-15,Jasmine Rice,94.0
2024-07-16,Wireless Keyboard and Mouse Combo,100.0
2024-07-16,Butternut Squash Ravioli,48.0
2024-07-16,Portable Projector,7.0
2024-07-16,Portable Pet Stroller,96.0
2024-07-17,Puffed Rice Cake,60.0
2024-07-18,Essential Oils Diffuser Necklace,93.0
2024-07-18,Puffer Winter Coat,57.0
2024-07-19,Electric Skillet,75.0
2024-07-20,Garden Tool Belt,93.0
2024-07-21,Frozen Acai Bowl,57.0
2024-07-23,Italian Meatballs,90.0
2024-07-24,Smart Wi-Fi Camera,49.0
2024-07-25,Electric Opener for Jars and Bottles,91.0
2024-07-26,Microfiber Cleaning Cloths,58.0
2024-07-28,Portable Hand Warmer,6.0
2024-07-30,Reusable Produce Bags Set,61.0
2024-07-31,Coconut Yogurt,4.0
2024-08-01,Portable Solar Charger,77.0
2024-08-01,Chipotle Black Bean Salad,95.0
2024-08-01,Mini Indoor Hydroponic Garden,59.0
2024-08-02,Vegetable Fried Rice Mix,56.0
2024-08-02,Kale and Quinoa Salad,63.0
2024-08-02,Trendy Bomber Jacket,43.0
2024-08-03,Vegetable Spiralizer,84.0
2024-08-03,Pet Reflective Vest,75.0
2024-08-04,Denim Jacket,71.0
2024-08-05,Wireless Music Receiver,96.0
2024-08-06,Pumpkin Spice Granola,42.0
2024-08-06,Bluetooth Car Adapter,7.0
2024-08-08,Multi-Port USB Hub,30.0
2024-08-10,Memory Foam Pillow,43.0
2024-08-10,Portable Massage Gun,45.0
2024-08-10,Memory Card,78.0
2024-08-10,Digital Photo Frame,18.0
2024-08-11,Wild Rice Pilaf,62.0
2024-08-11,Crispy Potato Tots,84.0
2024-08-12,Mashed Sweet Potatoes,28.0
2024-08-13,Vegetarian Pizza,89.0
2024-08-13,Cabbage,23.0
2024-08-14,Maple Bacon Potato Chips,72.0
2024-08-14,Elderberry Syrup Kit,84.0
2024-08-15,Greek Yogurt Parfait,60.0
2024-08-17,LED Strip Light Kit,12.0
2024-08-19,Collapsible Folding Chair,73.0
2024-08-19,Almond Flour Biscuits,82.0
2024-08-20,Wireless Music Receiver,55.0
2024-08-20,Couscous,94.0
2024-08-20,Free-Range Eggs,49.0
2024-08-22,Key Finder,82.0
2024-08-24,Whole Grain Mustard,62.0
2024-08-25,Luminous Night Light,23.0
2024-08-26,Portable Air Compressor,62.0
2024-08-26,Turkey Bacon,42.0
2024-08-26,Popcorn Chicken,40.0
2024-08-27,Skincare Set,98.0
2024-08-28,Luxury Memory Foam Mattress Topper,74.0
2024-08-28,Pet Bed with Removable Cover,50.0
2024-08-30,Compact Dishwasher,31.0
2024-08-31,Beef Sirloin Steak,86.0
2024-08-31,Blue Corn Tortilla Chips,94.0
2024-09-04,Colorful Post-It Notes Set,89.0
2024-09-05,Induction Cooktop,11.0
2024-09-05,Reversible Comforter Set,97.0
2024-09-05,LED Strip Lights with Remote Control,3.0
2024-09-07,Leather Crossbody Bag,56.0
2024-09-08,Spinach and Feta Stuffed Chicken Breast,35.0
2024-09-09,Chocolate Coconut Granola,40.0
2024-09-10,Shredded Cheese,52.0
2024-09-10,Portable Air Compressor,61.0
2024-09-11,Sriracha Honey Glaze,34.0
2024-09-11,Vegetable Potstickers,71.0
2024-09-11,Frozen Vegetarian Pizza,13.0
2024-09-11,Classic Watch,77.0
2024-09-12,Almond Quinoa Salad,84.0
2024-09-12,Pet Food Storage Container,11.0
2024-09-14,Honey mustard chicken tenders,14.0
2024-09-14,Samoas Cookie Mix,48.0
2024-09-14,Cauliflower Gnocchi,63.0
2024-09-14,Potting Soil,25.0
2024-09-14,Portable Camping Shower,33.0
2024-09-15,Garden Vegetable Soup,8.0
2024-09-15,Margherita Pizza,20.0
2024-09-16,Peach Fruit Cups,67.0
2024-09-17,Puff Pastry,46.0
2024-09-17,Matcha Green Tea Powder,15.0
2024-09-18,Picnic Blanket,27.0
2024-09-18,Pesto Pasta Sauce,92.0
2024-09-19,Crispy Kale Chips,54.0
2024-09-19,Granola Clusters,7.0
2024-09-20,Electric Rice Cooker,97.0
2024-09-20,Graphic Hoodie,62.0
2024-09-20,Classic BBQ Sauce,19.0
2024-09-22,Compact Folding Table,44.0
2024-09-22,Bamboo Toothbrush Holder,81.0
2024-09-23,Coconut Water,17.0
2024-09-23,Teriyaki Beef Strips,2.0
2024-09-24,Coconut Oil Spray,91.0
2024-09-24,Mini Fondue Set,73.0
2024-09-24,Fitness Tracker Band,8.0
2024-09-25,Pasta (Linguine),98.0
2024-09-26,Kids' Science Experiment Kit,11.0
2024-09-28,Chic Jumpsuit,14.0
2024-10-01,Portable Water Filter,81.0
2024-10-01,Almond Butter Cookies,52.0
2024-10-02,Body Wash,4.0
2024-10-02,Magnetic Puzzle Board,2.0
2024-10-02,Mango Chilli Sauce,57.0
2024-10-08,Honey Almond Granola Bars,53.0
2024-10-09,Brazil Nuts,62.0
2024-10-09,Yoga Mat Carrier,60.0
2024-10-09,Customizable Wall Calendar,52.0
2024-10-09,Maple Cinnamon Granola,38.0
2024-10-09,Spinach Feta Wraps,10.0
2024-10-10,Mini Indoor Herb Garden Kit,81.0
2024-10-10,Fashionable Belt Bag,63.0
2024-10-10,Portable Grill Cover,6.0
2024-10-11,Ankle Boots,8.0
2024-10-13,Non-Stick Baking Sheets,8.0
2024-10-15,Savory Mushroom Risotto,93.0
2024-10-15,Organic Spinach,10.0
2024-10-17,Suction Cup Hooks,83.0
2024-10-20,Frozen Broccoli,85.0
2024-10-21,Drone,7.0
2024-10-21,Digital Food Thermometer,36.0
2024-10-23,Brown Sugar,98.0
2024-10-23,Sweetened Condensed Milk,20.0
2024-10-25,Honey BBQ Riblets,26.0
2024-10-25,Chewy Granola Bars,71.0
2024-10-27,Smartphone Gimbal,94.0
2024-10-27,Pepper Jack Cheese Slices,92.0
2024-10-31,High-Speed Blender,57.0
2024-10-31,Portable Blender,53.0
2024-11-01,Pet Hair Vacuum Attachment,43.0
2024-11-02,Adjustable Pedicure Footrest,5.0
2024-11-04,Cotton Sweatpants,38.0
2024-11-05,Apple Cinnamon Granola,82.0
2024-11-05,Kids' STEM Robotics Kit,71.0
2024-11-07,Roasted Garlic,39.0
2024-11-08,Teriyaki Beef Strips,9.0
2024-11-09,Fitness Tracker Watch,71.0
2024-11-09,Collapsible Colander,48.0
2024-11-09,Energy Protein Bars,60.0
2024-11-10,Savory Oats,65.0
2024-11-10,Organic Quinoa Salad,40.0
2024-11-11,Organic Baby Spinach,29.0
2024-11-11,Golf Putting Green,42.0
2024-11-12,Mobile Workbench,43.0
2024-11-12,Electric Razor,87.0
2024-11-14,Peanut Butter Banana Smoothie,66.0
2024-11-14,Stainless Steel Water Pitcher,36.0
2024-11-14,Turkey Bacon,61.0
2024-11-15,Insulated Sport Tumbler,95.0
2024-11-16,Smart Doorbell,63.0
2024-11-17,Fruit Infuser Water Bottle,53.0
2024-11-18,Athletic Compression Tights,10.0
2024-11-18,Fruit and Nut Energy Bites,4.0
2024-11-20,Camping Tent,42.0
2024-11-22,Spicy BBQ Sauce,56.0
2024-11-23,Margherita Pizza,97.0
2024-11-23,French Onion Dip,87.0
2024-11-24,Weighted Blanket for Adults,77.0
2024-11-25,Plant Growing Kit,84.0
2024-11-25,Wine Decanter,90.0
2024-11-26,Lemon Herb Grilled Chicken,38.0
2024-11-26,Kale Chips,21.0
2024-11-27,Smoked Paprika Chicken Thighs,16.0
2024-11-29,Teriyaki Chicken Wings,1.0
2024-11-30,Flavored Instant Oatmeal,59.0
2024-12-01,Sketchbook,100.0
2024-12-01,Guitar Tuner,63.0
2024-12-01,Maple Bacon Popcorn,9.0
2024-12-02,Leather Crossbody Bag,95.0
2024-12-04,Pet Water Fountain with Filtration,100.0
2024-12-05,Pepperoni Pizza Roll-Ups,51.0
2024-12-07,Fashionable Scarves Set,50.0
2024-12-07,Ice Cube Tray with Lid,49.0
2024-12-07,Tennis Racket,74.0
2024-12-09,Electric Food Steamer,49.0
2024-12-10,Almond Flour Pancake Mix,82.0
2024-12-12,Pepperoni Pizza Rolls,10.0
2024-12-13,Digital Wireless Meat Thermometer,26.0
2024-12-13,Children's Science Experiment Lab Kit,75.0
2024-12-14,Aeropress Coffee Maker,45.0
2024-12-15,Pest Control Traps,31.0
2024-12-15,Action Camera,35.0
2024-12-15,Antique Style Clock,53.0
2024-12-16,Maple Bacon Jerky,89.0
2024-12-16,Sweet Potato & Kale Hash,17.0
2024-12-16,High-Pressure Handheld Shower Head,85.0
2024-12-16,Bluetooth Sleep Headphones,87.0
2024-12-16,Set of Silicone Baking Molds,33.0
2024-12-17,Workstation Laptop Stand,46.0
2024-12-17,Plant-Based Meal Prep Containers,81.0
2024-12-18,Lemon Basil Pasta Sauce,41.0
2024-12-19,Banana Nut Muffins,11.0
2024-12-20,Smart LED Light Strip,74.0
2024-12-20,Chic Ankle Strap Heels,77.0
2024-12-21,Induction Cooktop,78.0
2024-12-21,Travel Eye Mask with Ear Plugs,14.0
2024-12-22,Sriracha Chili Sauce,71.0
2024-12-22,Robot Vacuum Cleaner,86.0
2024-12-23,Pet Hair Removal Roller,52.0
2024-12-23,Electric Griddle,20.0
2024-12-23,Utility Cargo Pants,97.0
2024-12-23,Pet Grooming Brush,2.0
2024-12-23,Sports Windbreaker,87.0
2024-12-25,Organic Granola,74.0
2024-12-26,Peach Mango Smoothie Mix,28.0
2024-12-27,Sweet and Spicy Barbecue Sauce,33.0
2024-12-27,Dog Car Seat Cover,30.0
2024-12-28,Portable Bluetooth Headphones,36.0
2024-12-28,Spinach and Feta Stuffed Chicken Breast,90.0
2025-01-01,Underwater Camera,72.0
2025-01-01,Spinach and Ricotta Ravioli,31.0
2025-01-02,Mini Fondue Set,19.0
2025-01-02,Kids' STEM Robotics Kit,3.0
2025-01-02,Barbecue Chicken Pizza,37.0
2025-01-02,Portable Hammock Swing,59.0
2025-01-03,Luxury Bath Salts,14.0
2025-01-04,Bock Beer Mustard,74.0
2025-01-04,Bike Helmet,48.0
2025-01-05,Roasted Garlic Aioli,56.0
2025-01-05,Travel Orthopedic Pillow,63.0
2025-01-05,Vegetable Chips,94.0
2025-01-06,Comfortable Bed Pillow,28.0
2025-01-06,Electric Blanket,6.0
2025-01-08,Wild Rice & Quinoa Mix,74.0
2025-01-09,Ready-to-Eat Chili,37.0
2025-01-10,Utility Cargo Pants,8.0
2025-01-12,Noise-Canceling Headphones,12.0
2025-01-12,Hand Mixer,15.0
2025-01-12,Roasted Garlic Aioli,62.0
2025-01-13,Electric Hot Water Dispenser,70.0
2025-01-13,Ricotta Cheese,69.0
2025-01-13,Dark Chocolate Covered Almonds,10.0
2025-01-14,Roasted Garlic Aioli,41.0
2025-01-15,Travel Organizer,36.0
2025-01-15,Chipotle Seasoning Blend,74.0
2025-01-16,Shredded Cheese,96.0
2025-01-16,Biodegradable Trash Bags,54.0
2025-01-16,Handcrafted Wooden Coasters,88.0
2025-01-17,Chocolate Coconut Protein Balls,61.0
2025-01-17,Wooden Puzzle Game,19.0
2025-01-19,Scented Candles,86.0
2025-01-19,Vegetarian Chili,91.0
2025-01-21,Zucchini,1.0
2025-01-21,Travel Yoga Mat,44.0
2025-01-21,Roasted Garlic Pasta Sauce,41.0
2025-01-22,Folding Backpack Chair,63.0
2025-01-22,Kids Tablet,74.0
2025-01-22,Freestanding Wine Rack,65.0
2025-01-23,Personal Blender,13.0
2025-01-24,Bamboo Cotton Tank Top,9.0
2025-01-24,Teriyaki Stir-Fry Sauce,2.0
2025-01-24,Fire Roasted Salsa,4.0
2025-01-25,Portable Air Pump,53.0
2025-01-25,Chili Beans in Sauce,3.0
2025-01-25,Fashionable Scarves Set,84.0
2025-01-25,Peanut Butter Banana Smoothie Mix,53.0
2025-01-28,Belted Trench Coat,4.0
2025-01-28,Balsamic Vinaigrette,50.0
2025-01-28,Digital Kitchen Timer,100.0
2025-01-30,Almond Flour Biscuits,42.0
2025-01-31,Ankle Boots,97.0
2025-02-01,Leek and Potato Soup,5.0
2025-02-02,LED Canopy Lights,2.0
2025-02-04,Quinoa Salad,65.0
2025-02-04,Dark Chocolate Covered Almonds,74.0
2025-02-04,Nutty Quinoa Salad,5.0
2025-02-04,Frozen Mixed Vegetables,19.0
2025-02-05,Roasted Chickpeas,30.0
2025-02-06,Chic Ankle Strap Heels,52.0
2025-02-06,Chocolate Mint Thins,5.0
2025-02-07,Cat Tree with Scratching Posts,37.0
2025-02-08,Air Mattress,66.0
2025-02-08,Camping Lantern,68.0
2025-02-08,Gaming Headset,21.0
2025-02-10,Frozen Vegetarian Pizza,42.0
2025-02-10,Backpack,20.0
2025-02-11,Coffee Making Kit,76.0
2025-02-12,Pesto Pasta Salad,31.0
2025-02-12,Electric Rice Cooker,72.0
2025-02-12,Wooden Blocks,8.0
2025-02-13,Lasagna Noodles,15.0
2025-02-18,Spicy Tuna Salad,9.0
2025-02-19,Stainless Steel Water Bottle,29.0
2025-02-19,Travel Size Toiletry Bottles,76.0
2025-02-19,Peach & Mango Salsa,82.0
2025-02-21,Foldable Yoga Mat Carry Bag,8.0
2025-02-21,Habanero Hot Sauce,62.0
2025-02-22,Flavored Popcorn Mix,30.0
2025-02-23,Luminous Night Light,49.0
2025-02-24,Peanut Butter Pretzel Nuggets,96.0
2025-02-24,Pet Carrier Backpack,54.0
2025-02-24,Sesame Seeds,30.0
2025-02-25,Organic Coconut Yogurt,97.0
2025-02-25,Pet Leash,87.0
2025-02-26,Automatic Pet Feeder,5.0
2025-02-26,Roasted Garlic Mashed Potatoes,14.0
2025-02-27,Honey Mustard Pretzel Bites,43.0
2025-02-27,Classic White T-Shirt,34.0
2025-02-27,Caraway Rye Bread,20.0
2025-02-28,Italian Marinara Sauce,4.0
2025-03-01,Vegetarian Stir Fry Sauce,25.0
2025-03-02,Vegetable Curry,79.0
2025-03-02,Garden Hoses with Expandable Features,16.0
2025-03-03,Chocolate Mint Thins,81.0
2025-03-03,Pineapple Chunks (canned),96.0
2025-03-04,Sliced Olives,89.0
2025-03-05,Thai Green Curry Paste,21.0
2025-03-06,Whole Grain Cereal,32.0
2025-03-06,Crispy Rice Treats,22.0
2025-03-06,Yoga Wheel,56.0
2025-03-07,Compact Dishwasher,18.0
2025-03-07,Magnetic Screen Door,21.0
2025-03-08,Rechargeable Electric Toothbrush,100.0
2025-03-08,Vegetable Samosas,56.0
2025-03-08,Raspberry Lemonade Mix,33.0
2025-03-09,Leather Wallet,96.0
2025-03-11,Sriracha Honey Glaze,62.0
2025-03-11,Pressure Cooker,22.0
2025-03-14,Puzzle Game Set,93.0
2025-03-16,Peanut Butter Protein Balls,82.0
2025-03-17,Electric Egg Cooker,76.0
2025-03-17,Spaghetti Squash,79.0
2025-03-18,Microfiber Cleaning Cloth Set,40.0
2025-03-18,Cotton Basic Tank,50.0
2025-03-19,Home Office Chair,16.0
2025-03-20,Carrot Sticks,15.0
2025-03-22,Honey Sesame Chicken Mix,94.0
2025-03-22,Chickpea Flour,45.0
2025-03-23,Pumpkin Pancake Mix,44.0
2025-03-24,Underwater Camera,69.0
2025-03-25,Leather Notebook Cover,37.0
2025-03-25,Portable Hammock,62.0
2025-03-26,Multi-Purpose Marine Rope,20.0
2025-03-26,Travel Mug,64.0
2025-03-27,Car Emergency Kit,36.0
2025-03-27,Personal Blender with Cups,30.0
2025-03-28,Fitness Resistance Bands Set,26.0
2025-03-28,Radish Chips,17.0
2025-03-29,Kale Caesar Salad Kit,65.0
2025-03-29,Drone,84.0
2025-03-29,Chickpea Snack Mix,56.0
2025-03-29,Spaghetti Sauce,64.0
2025-03-30,Camera Lens Cleaning Kit,42.0
2025-03-30,Chili Lime Corn Chips,83.0
2025-03-31,Cheese Stuffed Jalapenos,6.0
2025-03-31,Organic Vanilla Bean Ice Cream,32.0
2025-03-31,Smart Plant Monitor,93.0
2025-04-03,Laptop Sleeve,93.0
2025-04-04,Pet Reflective Vest,46.0
2025-04-04,Elderberry Syrup,77.0
2025-04-05,Sweet Potatoes,71.0
2025-04-05,Adjustable Kneeling Pad,74.0
2025-04-05,Portable Pet Bathing Tool,61.0
2025-04-06,Pineapple Coconut Rice Mix,21.0
2025-04-07,Trendy Bomber Jacket,59.0
2025-04-08,Coconut Milk,2.0
2025-04-09,BBQ Sauce,17.0
2025-04-09,Yoga Mat Carrier,45.0
2025-04-09,Window A/C Unit,1.0
2025-04-09,Caraway Rye Bread,69.0
2025-04-10,Smartphone Stand,43.0
2025-04-10,Sports Windbreaker,37.0
2025-04-11,Smartphone Holder for Car,32.0
2025-04-12,Harvest Grain Salad,82.0
2025-04-12,Customizable Name Plate,76.0
2025-04-12,Curried Lentil Salad,9.0
2025-04-13,Multicolored LED Strip Lights,19.0
2025-04-13,Fruit and Nut Bars,72.0
2025-04-13,Plant-Based Meal Prep Containers,38.0
2025-04-13,Creamy Garlic Mashed Potatoes,99.0
2025-04-14,LED Christmas Tree Lights,1.0
2025-04-14,Mini Air Purifier,25.0
2025-04-15,Kids' Art Supplies Kit,27.0
2025-04-15,Camping Tarp,21.0
2025-04-16,Organic Whole Grain Oats,47.0
2025-04-16,Maple Glazed Carrots,80.0
2025-04-17,Smartphone Gimbal Stabilizer,56.0
2025-04-17,Chipotle Black Bean Salad,55.0
2025-04-18,Crispy Onion Rings,86.0
2025-04-19,Mini Food Processor,80.0
2025-04-20,Fitness Smartwatch,44.0
2025-04-20,Kids' Trampoline,12.0
2025-04-21,High-Speed HDMI Cable,7.0
2025-04-22,Graphic Sweatshirt,8.0
2025-04-22,Teriyaki Chicken Stir-Fry,84.0
2025-04-23,Multi-Tool,79.0
2025-04-24,Buffalo Sauce,94.0
2025-04-24,Oven-Baked Cheese Crisps,39.0
2025-04-26,Laptop Backpack,81.0
